f(x),x,f(x) SEM,f(x) fit,gama,k
8911.902777777777,1,23.226972203948534,8390.686440091184,0.2285562800310285,8390.686440091184
10064.88,2,46.21111913071498,9831.047349251157,0.2285562800310285,8390.686440091184
10879.4,3,52.84195417669677,10785.655657815953,0.2285562800310285,8390.686440091184
11506.73,4,58.304524236671774,11518.663302852237,0.2285562800310285,8390.686440091184
12086.88,5,68.06141356276414,12121.363517996297,0.2285562800310285,8390.686440091184
12590.1,6,72.46322438926444,12637.141456993233,0.2285562800310285,8390.686440091184
12984.14,7,69.44793416363052,13090.310742122625,0.2285562800310285,8390.686440091184
13335.41,8,71.64778482058583,13495.978563726598,0.2285562800310285,8390.686440091184
13732.76,9,68.30215714534256,13864.225388419249,0.2285562800310285,8390.686440091184
14086.06,10,70.02044985559431,14202.139423721826,0.2285562800310285,8390.686440091184
14446.73,11,77.09282985564555,14514.909420434533,0.2285562800310285,8390.686440091184
14554.64,12,79.80803929024653,14806.456767264815,0.2285562800310285,8390.686440091184
14976.68,13,79.12996454497429,15079.82288072375,0.2285562800310285,8390.686440091184
15200.88,14,84.49530054471322,15337.417938456541,0.2285562800310285,8390.686440091184
15402.19,15,76.43524319991599,15581.186824435772,0.2285562800310285,8390.686440091184
15693.79,16,71.92359623906188,15812.723456155387,0.2285562800310285,8390.686440091184
15646.93,17,75.06680695261124,16033.351733189287,0.2285562800310285,8390.686440091184
16044.59,18,81.41131022980366,16244.184218706,0.2285562800310285,8390.686440091184
16178.78,19,86.74441219159104,16446.165561059042,0.2285562800310285,8390.686440091184
16500.28,20,77.80989275214952,16640.10520857439,0.2285562800310285,8390.686440091184
16736.25,21,77.739804781558,16826.702454729028,0.2285562800310285,8390.686440091184
16954.18,22,75.71402920319204,17006.565887216355,0.2285562800310285,8390.686440091184
16971.43,23,84.85035580242418,17180.228685993512,0.2285562800310285,8390.686440091184
17230.29,24,80.87999377429064,17348.160796250508,0.2285562800310285,8390.686440091184
17403.85,25,80.78610163370749,17510.778716909703,0.2285562800310285,8390.686440091184
17426.86,26,75.69556786192567,17668.453447427964,0.2285562800310285,8390.686440091184
17613.39,27,76.31308702650648,17821.516996196395,0.2285562800310285,8390.686440091184
17715.23,28,84.6008439614517,17970.267753991022,0.2285562800310285,8390.686440091184
17856.48,29,77.17864031720254,18114.97496345721,0.2285562800310285,8390.686440091184
18176.15,30,72.8071527385805,18255.882462328278,0.2285562800310285,8390.686440091184
18309.48,31,69.9074893460398,18393.21183843997,0.2285562800310285,8390.686440091184
18464.15,32,73.11607124112572,18527.165104788328,0.2285562800310285,8390.686440091184
18628.09,33,74.71765858242885,18657.926980226246,0.2285562800310285,8390.686440091184
18737.64,34,68.67390741465029,18785.666844019146,0.2285562800310285,8390.686440091184
18833.45,35,69.00520456875523,18910.54041903583,0.2285562800310285,8390.686440091184
18949.71,36,61.875822688133475,19032.691227861163,0.2285562800310285,8390.686440091184
19109.43,37,61.0283875906876,19152.251857869836,0.2285562800310285,8390.686440091184
19137.98,38,66.29850765418266,19269.345064768993,0.2285562800310285,8390.686440091184
19386.45,39,62.262499657790514,19384.084738908812,0.2285562800310285,8390.686440091184
19458.99,40,70.25991643587228,19496.576754480393,0.2285562800310285,8390.686440091184
19655.92,41,62.828369195432536,19606.919718344896,0.2285562800310285,8390.686440091184
19764.07,42,58.472872506760936,19715.205632496974,0.2285562800310285,8390.686440091184
19808.92,43,57.64952570612714,19821.520481927382,0.2285562800310285,8390.686440091184
19968.85,44,61.51069115416137,19925.944757812515,0.2285562800310285,8390.686440091184
19970.65,45,61.77355417125919,20028.553924443495,0.2285562800310285,8390.686440091184
20073.71,46,57.93227201141036,20129.41883705163,0.2285562800310285,8390.686440091184
