f(x),x,f(x) SEM,f(x) fit,gama,k
9125.089743589744,1,55.374218650992596,8358.776971834643,0.26373719618746544,8358.776971834643
10457.67,2,72.70615837504116,10035.419801502221,0.26373719618746544,8358.776971834643
11414.46,3,92.37047871140291,11168.050254434887,0.26373719618746544,8358.776971834643
12040.09,4,98.93838414677974,12048.371541881013,0.26373719618746544,8358.776971834643
12853.82,5,99.1410090362574,12778.713306299102,0.26373719618746544,8358.776971834643
13171.3,6,102.42730311905329,13408.190342340062,0.26373719618746544,8358.776971834643
13880.64,7,106.00336998645302,13964.536488489393,0.26373719618746544,8358.776971834643
14501.71,8,116.13401201398601,14465.09061728325,0.26373719618746544,8358.776971834643
14625.1,9,129.7039788179689,14921.48276067803,0.26373719618746544,8358.776971834643
15364.87,10,116.40068611603124,15341.927770517721,0.26373719618746544,8358.776971834643
15681.7,11,118.05760492576528,15732.463197625595,0.26373719618746544,8358.776971834643
15721.54,12,125.3684222480673,16097.668273388186,0.26373719618746544,8358.776971834643
16236.49,13,110.83681105958699,16441.10617681958,0.26373719618746544,8358.776971834643
16471.06,14,115.59793068994782,16765.60894824639,0.26373719618746544,8358.776971834643
16931.97,15,110.16875710206656,17073.468148826614,0.26373719618746544,8358.776971834643
17039.04,16,129.15874417150235,17366.56658029564,0.26373719618746544,8358.776971834643
17186.57,17,111.29624518791861,17646.47178838139,0.26373719618746544,8358.776971834643
17479.85,18,123.90091624138435,17914.504008044565,0.26373719618746544,8358.776971834643
18000.28,19,120.88386034921821,18171.78655244387,0.26373719618746544,8358.776971834643
18157.95,20,106.56134039921217,18419.28385698722,0.26373719618746544,8358.776971834643
18255.1,21,124.38577941715091,18657.830662170276,0.26373719618746544,8358.776971834643
18565.99,22,113.14399290418837,18888.154718309685,0.26373719618746544,8358.776971834643
18658.3,23,117.28463736404763,19110.894676199063,0.26373719618746544,8358.776971834643
18740.63,24,119.29634152823044,19326.614347184386,0.26373719618746544,8358.776971834643
19196.52,25,122.4993535171562,19535.81418846548,0.26373719618746544,8358.776971834643
19511.89,26,126.22151435416463,19738.940641843896,0.26373719618746544,8358.776971834643
19684.38,27,120.59090437583514,19936.393793428357,0.26373719618746544,8358.776971834643
19482.82,28,106.40000036075034,20128.533706593917,0.26373719618746544,8358.776971834643
20109.2,29,116.01244099081127,20315.68569673829,0.26373719618746544,8358.776971834643
20521.72,30,111.61305097288016,20498.144754715868,0.26373719618746544,8358.776971834643
20350.68,31,119.52077025024614,20676.179279893793,0.26373719618746544,8358.776971834643
20667.37,32,130.44282439196698,20850.03424917954,0.26373719618746544,8358.776971834643
20645.59,33,123.79910012156424,21019.933922051514,0.26373719618746544,8358.776971834643
21045.87,34,129.42085421623753,21186.08416141339,0.26373719618746544,8358.776971834643
21171.76,35,120.44221810905967,21348.674434436016,0.26373719618746544,8358.776971834643
21275.57,36,110.10732987371546,21507.87954532086,0.26373719618746544,8358.776971834643
21441.47,37,117.25483983894466,21663.86114229319,0.26373719618746544,8358.776971834643
21591.77,38,96.0947479145852,21816.76903350144,0.26373719618746544,8358.776971834643
21698.89,39,104.60526368643734,21966.742340407218,0.26373719618746544,8358.776971834643
22039.34,40,96.75906369989742,22113.910512356764,0.26373719618746544,8358.776971834643
21991.47,41,103.48209278064792,22258.39422206901,0.26373719618746544,8358.776971834643
22189.3,42,102.80654137502609,22400.30615856022,0.26373719618746544,8358.776971834643
22603.07,43,105.16889663389989,22539.751731397217,0.26373719618746544,8358.776971834643
22537.37,44,102.90832014247174,22676.829698012476,0.26373719618746544,8358.776971834643
22659.26,45,115.62137059114002,22811.63272403209,0.26373719618746544,8358.776971834643
22914.53,46,90.99109120006078,22944.247885089455,0.26373719618746544,8358.776971834643
23022.7,47,91.76144576723345,23074.757117366073,0.26373719618746544,8358.776971834643
23058.07,48,108.40191419440018,23203.237623070767,0.26373719618746544,8358.776971834643
23474.17,49,92.9885026617416,23329.762236203067,0.26373719618746544,8358.776971834643
23392.93,50,103.26026962892544,23454.399753217014,0.26373719618746544,8358.776971834643
23699.7,51,86.07948699201268,23577.215232583847,0.26373719618746544,8358.776971834643
23779.07,52,105.2243800291798,23698.27026672771,0.26373719618746544,8358.776971834643
23896.91,53,101.09736890240961,23817.623229361314,0.26373719618746544,8358.776971834643
24016.37,54,98.53582812993722,23935.329500866457,0.26373719618746544,8358.776971834643
24179.84,55,84.43570827750088,24051.441674036352,0.26373719618746544,8358.776971834643
24210.93,56,95.12194221050677,24166.009742214894,0.26373719618746544,8358.776971834643
24451.51,57,86.53142886147252,24279.081271624575,0.26373719618746544,8358.776971834643
24455.77,58,82.6170658318647,24390.701559464465,0.26373719618746544,8358.776971834643
24569.38,59,87.22394233908324,24500.913779177008,0.26373719618746544,8358.776971834643
24853.83,60,81.60745293628194,24609.75911412365,0.26373719618746544,8358.776971834643
24843.92,61,90.60163295961885,24717.276880770984,0.26373719618746544,8358.776971834643
25065.58,62,84.8806579673467,24823.504642368014,0.26373719618746544,8358.776971834643
25196.38,63,82.84221558377276,24928.478313989388,0.26373719618746544,8358.776971834643
25290.91,64,85.93750853223098,25032.232259726225,0.26373719618746544,8358.776971834643
25501.72,65,69.86589329898135,25134.799382724446,0.26373719618746544,8358.776971834643
25598.98,66,67.4485542521637,25236.21120869846,0.26373719618746544,8358.776971834643
25664.63,67,72.05261637347131,25336.497963484104,0.26373719618746544,8358.776971834643
