f(x),x,f(x) SEM,f(x) fit,gama,k
4233.96,1,19.172417687918234,3862.586620418744,0.25416363205435816,3862.586620418744
4691.96,2,17.391643877669434,4606.691281344287,0.25416363205435816,3862.586620418744
5051.85,3,24.63747812343683,5106.755941345392,0.25416363205435816,3862.586620418744
5331.25,4,25.777589417197568,5494.143341518858,0.25416363205435816,3862.586620418744
5642.54,5,25.200302306989023,5814.749189284231,0.25416363205435816,3862.586620418744
5865.54,6,33.182712488294385,6090.542525722976,0.25416363205435816,3862.586620418744
6125.58,7,34.186512137409,6333.903160148884,0.25416363205435816,3862.586620418744
6350.77,8,34.29223740826263,6552.557836770749,0.25416363205435816,3862.586620418744
6509.09,9,37.21732814350614,6751.681918692929,0.25416363205435816,3862.586620418744
6742.96,10,33.99640777220648,6934.926520968343,0.25416363205435816,3862.586620418744
6994.14,11,37.00391467142499,7104.97213596498,0.25416363205435816,3862.586620418744
7147.2,12,35.84366447265517,7263.849826327766,0.25416363205435816,3862.586620418744
7275.07,13,36.42265155730217,7413.138602335515,0.25416363205435816,3862.586620418744
7544.52,14,38.024121743222864,7554.092459827777,0.25416363205435816,3862.586620418744
7663.06,15,32.27775235312547,7687.725321896176,0.25416363205435816,3862.586620418744
7770.66,16,33.49458940175143,7814.869677636785,0.25416363205435816,3862.586620418744
7927.64,17,38.142514576018954,7936.218178704884,0.25416363205435816,3862.586620418744
8156.21,18,31.69735130571606,8052.3538462111455,0.25416363205435816,3862.586620418744
8277.78,19,27.67480924354614,8163.772458861649,0.25416363205435816,3862.586620418744
8388.02,20,31.8594799173819,8270.899446507363,0.25416363205435816,3862.586620418744
8551.32,21,25.521600595763914,8374.10284186457,0.25416363205435816,3862.586620418744
8711.18,22,23.473033657601846,8473.703352028817,0.25416363205435816,3862.586620418744
8816.85,23,20.020476260493147,8569.982290688187,0.25416363205435816,3862.586620418744
8962.12,24,26.47843902750563,8663.187897728149,0.25416363205435816,3862.586620418744
9094.0,25,0.0,8753.54042691116,0.25416363205435816,3862.586620418744
