f(x),x,f(x) SEM,f(x) fit,gama,k
4664.038461538462,1,33.494085850822216,4341.797122394722,0.261348477610103,4341.797122394722
5257.84,2,32.037707329162785,5204.071532871437,0.261348477610103,4341.797122394722
5766.61,3,31.495970224840516,5785.813627133701,0.261348477610103,4341.797122394722
6155.8,4,31.78178755517097,6237.592350769621,0.261348477610103,4341.797122394722
6434.88,5,32.84161033958246,6612.1739915703065,0.261348477610103,4341.797122394722
6723.9,6,35.86548240694426,6934.867554304115,0.261348477610103,4341.797122394722
7008.01,7,35.68511982280117,7219.957026842453,0.261348477610103,4341.797122394722
7271.35,8,34.594316620280885,7476.368856311967,0.261348477610103,4341.797122394722
7528.71,9,28.564901451772858,7710.088330765331,0.261348477610103,4341.797122394722
7724.37,10,36.544373622137016,7925.341850368391,0.261348477610103,4341.797122394722
8003.04,11,30.927464568672043,8125.234789104204,0.261348477610103,4341.797122394722
8214.73,12,31.326368842374386,8312.121871710715,0.261348477610103,4341.797122394722
8438.99,13,29.619323800928377,8487.834946608365,0.261348477610103,4341.797122394722
8613.21,14,30.03356470835437,8653.829686823872,0.261348477610103,4341.797122394722
8776.05,15,30.5726073173653,8811.283739647868,0.261348477610103,4341.797122394722
8927.65,16,30.416899127380695,8961.164521874342,0.261348477610103,4341.797122394722
9110.59,17,28.082936675555004,9104.277336956666,0.261348477610103,4341.797122394722
9249.67,18,27.50000571166148,9241.30033416434,0.261348477610103,4341.797122394722
9444.71,19,24.57653185829559,9372.810430753161,0.261348477610103,4341.797122394722
9617.43,20,22.99426478779683,9499.302880607325,0.261348477610103,4341.797122394722
9747.0,21,22.599807811822494,9621.206282937668,0.261348477610103,4341.797122394722
9914.47,22,20.140940039048964,9738.89425781182,0.261348477610103,4341.797122394722
10043.7,23,19.45966301991082,9852.69464501439,0.261348477610103,4341.797122394722
10191.75,24,15.128228848110677,9962.89683532459,0.261348477610103,4341.797122394722
10310.346153846154,25,15.163716036106344,10069.757674601926,0.261348477610103,4341.797122394722
10452.0,26,0.0,10173.506263920786,0.261348477610103,4341.797122394722
