f(x),x,f(x) SEM,f(x) fit,gama,k
6661.882352941177,1,48.23036649866094,6283.035605162173,0.23885537078272276,6283.035605162173
7449.23,2,34.67781829668905,7414.334100165285,0.23885537078272276,6283.035605162173
7977.65,3,43.93855989281562,8168.315331754069,0.23885537078272276,6283.035605162173
8479.79,4,50.95547728808519,8749.329719492313,0.23885537078272276,6283.035605162173
8981.68,5,59.57623226174219,9228.311813151251,0.23885537078272276,6283.035605162173
9409.17,6,56.19574565118724,9639.069824046288,0.23885537078272276,6283.035605162173
9737.29,7,56.6262338728814,10000.592392324425,0.23885537078272276,6283.035605162173
10164.26,8,66.49967056954934,10324.69936021428,0.23885537078272276,6283.035605162173
10571.41,9,61.567783283011224,10619.28971151301,0.23885537078272276,6283.035605162173
10869.27,10,57.718013320073325,10889.92507172644,0.23885537078272276,6283.035605162173
11102.57,11,61.278094781087965,11140.681457902943,0.23885537078272276,6283.035605162173
11406.66,12,61.28404841309841,11374.642542465097,0.23885537078272276,6283.035605162173
11642.87,13,50.34103022627193,11594.202284685905,0.23885537078272276,6283.035605162173
12007.83,14,44.754861041776095,11801.259431881044,0.23885537078272276,6283.035605162173
12245.05,15,40.201822600524466,11997.347398069522,0.23885537078272276,6283.035605162173
12474.529411764706,16,60.24338611776612,12183.723816159332,0.23885537078272276,6283.035605162173
12696.0,17,0.0,12361.433992499837,0.23885537078272276,6283.035605162173
