f(x),x,f(x) SEM,f(x) fit,gama,k
5703.305555555556,1,84.86261370867251,5081.804828893224,0.3605920835932441,5081.804828893224
6667.01,2,55.44859024904114,6524.797158111123,0.3605920835932441,5081.804828893224
7555.18,3,57.575346119741916,7552.037345939996,0.3605920835932441,5081.804828893224
8275.43,4,73.61077717400909,8377.531091403018,0.3605920835932441,5081.804828893224
8747.97,5,81.62982651437939,9079.481160165948,0.3605920835932441,5081.804828893224
9460.79,6,86.16116715935681,9696.458929822806,0.3605920835932441,5081.804828893224
9859.96,7,76.11307499936254,10250.702859625118,0.3605920835932441,5081.804828893224
10542.66,8,88.6157796787954,10756.353873802522,0.3605920835932441,5081.804828893224
10833.43,9,95.17699222761219,11223.033940658797,0.3605920835932441,5081.804828893224
11261.71,10,98.90703756456352,11657.62457742334,0.3605920835932441,5081.804828893224
11677.03,11,81.341389882893,12065.23929175152,0.3605920835932441,5081.804828893224
12130.38,12,106.2418897962322,12449.794866055136,0.3605920835932441,5081.804828893224
12481.81,13,96.50792367636572,12814.366353300526,0.3605920835932441,5081.804828893224
12985.32,14,87.48498500897284,13161.417870054303,0.3605920835932441,5081.804828893224
13224.79,15,91.10861571539631,13492.958331157617,0.3605920835932441,5081.804828893224
13496.33,16,93.2045421520742,13810.649867619877,0.3605920835932441,5081.804828893224
13880.58,17,90.88448899231341,14115.88533556991,0.3605920835932441,5081.804828893224
14099.25,18,93.74750461325422,14409.84501117562,0.3605920835932441,5081.804828893224
14471.22,19,91.69802833212937,14693.53889605293,0.3605920835932441,5081.804828893224
15006.7,20,99.0249886838589,14967.838843520525,0.3605920835932441,5081.804828893224
15203.37,21,87.83886148436059,15233.503336821947,0.3605920835932441,5081.804828893224
15562.23,22,91.845790669123,15491.196866743161,0.3605920835932441,5081.804828893224
15662.55,23,85.04561268739108,15741.505275554799,0.3605920835932441,5081.804828893224
16030.07,24,89.1722827514868,15984.94804429448,0.3605920835932441,5081.804828893224
16276.58,25,80.56965012467239,16221.988233216442,0.3605920835932441,5081.804828893224
16592.5,26,87.47605906241381,16453.040598810225,0.3605920835932441,5081.804828893224
16992.51,27,75.84076419803148,16678.478278565985,0.3605920835932441,5081.804828893224
17273.06,28,79.45441971420603,16898.638339470876,0.3605920835932441,5081.804828893224
17508.02,29,67.86894379105314,17113.826416743326,0.3605920835932441,5081.804828893224
17669.47,30,69.81797177538375,17324.32061796107,0.3605920835932441,5081.804828893224
17848.21,31,59.716898264928645,17530.374829342385,0.3605920835932441,5081.804828893224
18157.26,32,58.04583980951537,17732.2215319197,0.3605920835932441,5081.804828893224
18390.73,33,47.211834792183666,17930.074213191434,0.3605920835932441,5081.804828893224
18655.01,34,37.81221141804896,18124.12944276893,0.3605920835932441,5081.804828893224
18935.916666666668,35,23.782859474039384,18314.56866726926,0.3605920835932441,5081.804828893224
19138.0,36,0.0,18501.559769310836,0.3605920835932441,5081.804828893224
