f(x),x,f(x) SEM,f(x) fit,gama,k
7094.0,1,39.50279533476477,6123.18001747162,0.31494282110932187,6123.18001747162
8013.58,2,42.82530447095856,7617.005403274651,0.31494282110932187,6123.18001747162
8667.66,3,49.72881249254995,8654.519116820724,0.31494282110932187,6123.18001747162
9238.44,4,60.01424295594969,9475.267940509171,0.31494282110932187,6123.18001747162
9923.34,5,63.915343662969974,10165.122404956,0.31494282110932187,6123.18001747162
10234.3,6,66.57203814385034,10765.895937645073,0.31494282110932187,6123.18001747162
10716.84,7,64.00212862621734,11301.46094172811,0.31494282110932187,6123.18001747162
11185.89,8,64.00415689625166,11786.876573022124,0.31494282110932187,6123.18001747162
11713.1,9,70.57829451443025,12232.320612769328,0.31494282110932187,6123.18001747162
12214.41,10,72.54197404944188,12645.02955369088,0.31494282110932187,6123.18001747162
12662.01,11,62.91198998472696,13030.352897238066,0.31494282110932187,6123.18001747162
12817.05,12,71.74304650781303,13392.369209160724,0.31494282110932187,6123.18001747162
13240.57,13,73.3510753400068,13734.267111239855,0.31494282110932187,6123.18001747162
13689.33,14,73.2490770169726,14058.591910153558,0.31494282110932187,6123.18001747162
13896.49,15,77.49734892174693,14367.411365906672,0.31494282110932187,6123.18001747162
14285.88,16,72.71171564417384,14662.430679526733,0.31494282110932187,6123.18001747162
14717.56,17,72.31252084326108,14945.074425045754,0.31494282110932187,6123.18001747162
14927.28,18,69.47865318559974,15216.546293950878,0.31494282110932187,6123.18001747162
15131.33,19,75.61984541912342,15477.873546896948,0.31494282110932187,6123.18001747162
15454.2,20,73.69011693119596,15729.9406779163,0.31494282110932187,6123.18001747162
16011.03,21,66.98780901451889,15973.515312158956,0.31494282110932187,6123.18001747162
16172.42,22,63.17145369244056,16209.268409819028,0.31494282110932187,6123.18001747162
16587.73,23,63.91866178388299,16437.79022750067,0.31494282110932187,6123.18001747162
16593.6,24,68.51135716511578,16659.60307189337,0.31494282110932187,6123.18001747162
16972.32,25,65.11982720300703,16875.171595952084,0.31494282110932187,6123.18001747162
17350.22,26,54.854543341937735,17084.9111895829,0.31494282110932187,6123.18001747162
17499.49,27,59.32181109606459,17289.19487655468,0.31494282110932187,6123.18001747162
17603.86,28,60.92191395548896,17488.359028564075,0.31494282110932187,6123.18001747162
18017.06,29,52.41508538348073,17682.708133955963,0.31494282110932187,6123.18001747162
18193.95,30,52.085520923755666,17872.518804431504,0.31494282110932187,6123.18001747162
18500.58,31,47.220005561758725,18058.04316264249,0.31494282110932187,6123.18001747162
18713.78,32,46.954948491919225,18239.511723062416,0.31494282110932187,6123.18001747162
18959.01,33,40.91063553649589,18417.135855272903,0.31494282110932187,6123.18001747162
19268.78,34,40.35389553498503,18591.109900917247,0.31494282110932187,6123.18001747162
19427.89,35,38.202154720022335,18761.613001691898,0.31494282110932187,6123.18001747162
19666.36,36,30.323879712333657,18928.810684886892,0.31494282110932187,6123.18001747162
19888.07894736842,37,32.77832745073975,19092.85624442483,0.31494282110932187,6123.18001747162
20118.0,38,0.0,19253.89194854947,0.31494282110932187,6123.18001747162
